Date,Open,High,Low,Close,Adj Close,Volume
2024-06-13,153.0,154.0,152.0,153.0,153.0,804300
2024-06-14,153.0,153.0,150.0,151.0,151.0,1838500
2024-06-19,151.0,152.0,148.0,148.0,148.0,5482600
2024-06-20,147.0,155.0,147.0,155.0,155.0,2301500
2024-06-21,152.0,157.0,152.0,152.0,152.0,6635800
2024-06-24,154.0,156.0,152.0,153.0,153.0,3957100
2024-06-25,153.0,155.0,152.0,153.0,153.0,1063500
2024-06-26,154.0,154.0,152.0,152.0,152.0,1458300
2024-06-27,153.0,153.0,150.0,151.0,151.0,2188200
2024-06-28,152.0,157.0,151.0,153.0,153.0,6892100
2024-07-01,153.0,167.0,153.0,164.0,164.0,58492900
2024-07-02,164.0,167.0,160.0,161.0,161.0,12859200
2024-07-03,161.0,167.0,161.0,161.0,161.0,14569200
2024-07-04,161.0,167.0,161.0,164.0,164.0,11676200
2024-07-05,164.0,166.0,162.0,163.0,163.0,6081900
2024-07-08,163.0,166.0,162.0,163.0,163.0,6589500
2024-07-09,163.0,164.0,161.0,162.0,162.0,3468800
2024-07-10,162.0,162.0,156.0,158.0,158.0,13502400
2024-07-11,158.0,173.0,158.0,168.0,168.0,66708200
2024-07-12,169.0,172.0,165.0,166.0,166.0,12311000
2024-07-15,167.0,174.0,166.0,169.0,169.0,26544100
2024-07-16,170.0,173.0,166.0,167.0,167.0,14027100
2024-07-17,168.0,169.0,166.0,167.0,167.0,5259200
2024-07-18,167.0,168.0,165.0,165.0,165.0,8110700
2024-07-19,166.0,167.0,161.0,161.0,161.0,18096300
2024-07-22,161.0,163.0,160.0,160.0,160.0,7237700
2024-07-23,161.0,162.0,156.0,158.0,158.0,11450400
2024-07-24,158.0,159.0,155.0,155.0,155.0,7680800
2024-07-25,155.0,156.0,151.0,151.0,151.0,9815200
2024-07-26,151.0,155.0,151.0,154.0,154.0,3968500
2024-07-29,153.0,155.0,151.0,152.0,152.0,3359700
2024-07-30,152.0,154.0,150.0,150.0,150.0,6519000
2024-07-31,151.0,153.0,148.0,153.0,153.0,4123700
2024-08-01,151.0,154.0,148.0,152.0,152.0,5184200
2024-08-02,155.0,155.0,150.0,152.0,152.0,2004300
2024-08-05,152.0,152.0,145.0,146.0,146.0,11129400
2024-08-06,146.0,151.0,146.0,150.0,150.0,4806600
2024-08-07,151.0,153.0,150.0,151.0,151.0,2393600
2024-08-08,152.0,152.0,148.0,149.0,149.0,4145800
2024-08-09,150.0,151.0,149.0,151.0,151.0,1903900
2024-08-12,151.0,152.0,150.0,150.0,150.0,1694900
2024-08-13,151.0,153.0,150.0,153.0,153.0,6208100
2024-08-14,153.0,155.0,152.0,153.0,153.0,6308300
2024-08-15,153.0,154.0,151.0,152.0,152.0,1513200
2024-08-16,152.0,162.0,152.0,156.0,156.0,44195600
2024-08-19,156.0,161.0,156.0,157.0,157.0,15379800
2024-08-20,157.0,159.0,154.0,155.0,155.0,12585500
2024-08-21,156.0,158.0,154.0,154.0,154.0,5193600
2024-08-22,154.0,156.0,153.0,153.0,153.0,3820100
2024-08-23,154.0,156.0,152.0,152.0,152.0,6314400
2024-08-26,154.0,155.0,151.0,151.0,151.0,4833900
2024-08-27,152.0,153.0,149.0,151.0,151.0,10022200
2024-08-28,151.0,152.0,149.0,149.0,149.0,9905100
2024-08-29,150.0,150.0,147.0,148.0,148.0,10834400
2024-08-30,148.0,153.0,147.0,151.0,151.0,10678000
2024-09-02,151.0,152.0,150.0,151.0,151.0,4440300
2024-09-03,151.0,151.0,149.0,149.0,149.0,3046300
2024-09-04,149.0,151.0,147.0,149.0,149.0,3726300
2024-09-05,141.0,150.0,141.0,149.0,149.0,3766700
2024-09-06,150.0,150.0,148.0,149.0,149.0,2034900
2024-09-09,149.0,150.0,148.0,149.0,149.0,3739100
2024-09-10,149.0,151.0,149.0,149.0,149.0,4178700
2024-09-11,150.0,151.0,148.0,148.0,148.0,3695800
2024-09-12,149.0,150.0,148.0,150.0,150.0,1483600
2024-09-13,150.0,152.0,149.0,149.0,149.0,2436500
